고객ID,평균순수익,평균수량,Accessories,Android,Apparel,Bags,Bottles,Drinkware,Gift Cards,Headgear,Housewares,Lifestyle,Nest,Nest-Canada,Nest-USA,Notebooks & Journals,Office,Waze,Clicked,Not Used,Used,성별,가입기간,총거래량,마지막거래주,일회성구매고객,거주지역,클러스터
USER_0000,-55.29787,1.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,여,31,2,37,1,New York,1
USER_0001,177.83541084745767,5.762711864406779,0.0029411764705882,0.0,0.6794117647058824,0.0176470588235294,0.0,0.0205882352941176,0.0,0.0058823529411764,0.0,0.0088235294117647,0.0058823529411764,0.0,0.0970588235294117,0.0,0.1617647058823529,0.0,0.4676470588235294,0.3470588235294117,0.1852941176470588,남,20,59,43,0,New York,0
USER_0002,41.93222,9.08695652173913,0.0,0.0,0.0191387559808612,0.291866028708134,0.0,0.3636363636363636,0.0,0.0,0.0,0.0430622009569378,0.0,0.0,0.0239234449760765,0.0,0.2583732057416268,0.0,0.2344497607655502,0.0047846889952153,0.7607655502392344,남,39,23,41,0,California,1
USER_0003,56.70874823529412,1.2352941176470589,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,0.0,0.0,0.0952380952380952,0.2857142857142857,0.0,0.0,0.0,0.4761904761904761,0.1904761904761904,0.3333333333333333,남,25,17,49,1,California,0
USER_0004,15.87122222222222,1.5555555555555556,0.0,0.0,0.3392857142857143,0.0178571428571428,0.0,0.0535714285714285,0.0,0.0,0.0,0.0892857142857142,0.0357142857142857,0.0,0.0892857142857142,0.0,0.375,0.0,0.3928571428571428,0.25,0.3571428571428571,여,31,36,37,1,Chicago,0
USER_0005,26.293175,5.375,0.0,0.0,0.9767441860465116,0.0,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.5930232558139535,0.3372093023255814,0.0697674418604651,남,41,16,33,1,New York,3
USER_0006,59.23345533333333,6.8,0.0,0.0,0.034313725490196,0.0049019607843137,0.0016339869281045,0.0359477124183006,0.0,0.0,0.0,0.3022875816993464,0.0,0.0049019607843137,0.0457516339869281,0.099673202614379,0.4705882352941176,0.0,0.7434640522875817,0.1290849673202614,0.1274509803921568,여,21,90,25,0,New York,3
USER_0007,21.463595714285717,1.5714285714285714,0.0,0.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363636363636363,0.0,0.4090909090909091,0.0,0.5454545454545454,0.3181818181818182,0.1363636363636363,여,23,14,48,1,New York,0
USER_0008,105.28266368421052,5.526315789473684,0.0,0.0,0.0666666666666666,0.0238095238095238,0.0,0.0023809523809523,0.0,0.0,0.0,0.3595238095238095,0.0380952380952381,0.0,0.1,0.0,0.4071428571428571,0.0023809523809523,0.7785714285714286,0.1214285714285714,0.1,여,27,76,46,0,California,3
USER_0009,52.07318882352941,2.6911764705882355,0.0,0.0,0.2076502732240437,0.0163934426229508,0.0,0.0163934426229508,0.0109289617486338,0.0,0.0,0.0054644808743169,0.0,0.0,0.1530054644808743,0.0491803278688524,0.5245901639344263,0.0163934426229508,0.7377049180327869,0.0601092896174863,0.2021857923497267,남,32,68,38,0,New York,3
USER_0010,37.166842,1.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.2666666666666666,0.0,0.2666666666666666,0.0666666666666666,0.6666666666666666,남,38,10,30,0,California,1
USER_0011,26.883247368421053,1.3157894736842106,0.0,0.0,0.24,0.04,0.04,0.04,0.0,0.0,0.0,0.32,0.0,0.0,0.2,0.08,0.04,0.0,0.64,0.32,0.04,남,31,19,36,1,Chicago,3
USER_0012,75.89503272727273,5.409090909090909,0.0,0.0,0.0840336134453781,0.3529411764705882,0.0084033613445378,0.0588235294117647,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,0.0756302521008403,0.0,0.3949579831932773,0.0,0.1428571428571428,0.0168067226890756,0.8403361344537815,여,39,22,34,0,Chicago,1
USER_0013,28.8900675,1.90625,0.0,0.0,0.3114754098360656,0.0163934426229508,0.0,0.1639344262295081,0.0,0.0,0.0,0.1475409836065573,0.0,0.0,0.1311475409836065,0.0,0.2295081967213114,0.0,0.360655737704918,0.3934426229508196,0.2459016393442623,여,10,32,28,0,New Jersey,0
USER_0014,37.79186363636364,1.5454545454545454,0.0,0.0,0.2352941176470588,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.1176470588235294,0.0,0.5294117647058824,0.0,0.4705882352941176,여,22,11,38,1,California,0
